metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,horizon_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,360,18-24h,333,11988,4.29169061,18.69027715,13.64441671,96.94361121,0.35165116,2.27486095,94.96996997,35.47106176
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,0-6h,334,12024,262.78415691,367.61058960,5.67596730,11.61871998,18.45638824,112.98805082,42.19061876,323.82751943
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,6-12h,334,12024,3.15963079,13.69554831,16.23258992,97.07004018,0.57363514,1.84285651,94.25316035,41.34716840
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,12-18h,333,11988,4.42537561,18.70008263,14.06943660,96.58879855,0.51787528,2.40747821,96.15448782,43.21862945
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,720,18-24h,333,11988,317.80338734,447.47609014,6.56821141,11.05322603,26.14843054,137.49310547,39.40607274,378.73411505
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,1080,0-6h,334,12024,2.79068043,9.78873981,14.33710901,81.20527771,1.14229741,1.74974397,95.10146374,39.46320629
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,1080,6-12h,333,11988,4.47552904,18.63311607,14.22888757,88.34730157,0.53379612,2.67447790,96.72172172,57.34709800
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,1080,12-18h,333,11988,318.06595467,447.84342827,6.57363803,11.25363817,16.88833056,138.26903628,39.13079746,361.92713242
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A2_PV_ACTUAL,pv_actual_kw,kW,1080,18-24h,333,11988,296.27210504,425.16154899,6.39410407,14.64296250,30.62655292,125.91493708,45.55388722,412.04541870
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,0-6h,334,12024,0.02973946,0.03752526,6.65492897,6.84143936,0.00004237,0.01252738,40.90984697,0.04027980
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,6-12h,334,12024,0.05058995,0.06750579,6.05505141,7.15747609,0.00044212,0.02231917,29.59913506,0.04606066
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,12-18h,334,12024,0.04952270,0.06731662,6.01101303,6.96074257,0.00056903,0.02171510,32.93413174,0.04775073
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,18-24h,334,12024,0.04155365,0.06319279,4.49780442,5.14400258,0.00040803,0.01798462,39.53759148,0.04572176
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,0-6h,334,12024,0.05060792,0.06769736,6.05720210,7.16066159,0.00060905,0.02252301,26.77977379,0.04212438
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,6-12h,334,12024,0.04956263,0.06745768,6.01585961,6.96745782,0.00043730,0.02183613,31.58682635,0.04580841
all_revision_forecasts_pooled,CycleBaseline_plus_TiRexResidual,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,12-18h,334,12024,0.04164370,0.06320248,4.50755063,5.15474718,0.00027348,0.01812631,38.33998669,0.04393068
