path_scope,baseline_model,target_dataset,target_metric,unit,resolution,assumption,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
latest_available_6h_path,TiRex_historical_only,A2_LOAD,load_kw,kW,10min,online_actual_load_available_through_issue_time,1336,48096,289.09612309,418.59708616,6.26186107,6.89511874,8.26598062,115.05499871,86.68080506,1098.46011092
latest_available_6h_path,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,10min,historical_actual_pv_available_through_issue_time,1336,48096,195.14920823,357.37555051,8.20349823,77.12948221,-101.36146184,76.50105493,80.42664671,575.53189527
latest_available_6h_path,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,10min,future_price_unknown; actual_price_used_only_for_settlement_evaluation,1336,48096,0.06323657,0.08395998,8.34775822,9.95787637,-0.00702160,0.02489284,82.13780772,0.21518292
latest_available_6h_path,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,hourly_endpoint_proxy,Attachment3 forecast point matched to same-time ten-minute actual interval,1336,8016,204.26641494,367.04271622,8.59029299,76.87869947,-106.04776908,,,
latest_available_6h_path,Official_Attachment3,A2_PV_ACTUAL,pv_actual_kw,kW,hourly_endpoint_proxy,Attachment3 forecast point matched to same-time ten-minute actual interval,1336,8016,57.50776005,132.32669043,2.41845194,1.24447076,-0.65440067,,,
