series,model,month,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,B0,2025-02,4032,1425.56040067,4516.89652532,0,,1862.34842038,0.315606167349,,True
Load,B0,2025-03,4464,1242.94901893,4355.69899541,0,,1684.13380295,0.28536155052,,True
Load,B0,2025-04,4320,1292.98149363,4392.97679905,0,,1717.70341889,0.294329233406,,True
Load,B0,2025-05,4464,1212.64513051,4401.67775269,0,,1619.68669297,0.275496117309,,True
Load,B0,2025-06,4320,1142.55100495,4800.37262944,0,,1503.64684773,0.238012982148,,True
Load,B0,2025-07,4464,1122.62361069,5337.25865607,0,,1465.34168967,0.210337119302,,True
Load,B0,2025-08,4464,1044.11278165,5045.17705034,0,,1372.75817213,0.206952654235,,True
Load,B0,2025-09,4320,1239.2030013,4535.91043282,0,,1639.51735837,0.273198296053,,True
Load,B0,2025-10,4464,1217.50307735,4347.01949133,0,,1660.95954192,0.280077666958,,True
Load,B0,2025-11,4320,1259.30857081,4337.67134669,0,,1689.96728649,0.290319037603,,True
Load,B0,2025-12,4464,1460.5387974,4691.30589619,0,,1894.87540255,0.311328834597,,True
Load,B1,2025-02,4032,638.303455853,4516.89652532,0,,1124.09806558,0.141314606672,,True
Load,B1,2025-03,4464,645.207607124,4355.69899541,0,,1134.7470157,0.148129521302,,True
Load,B1,2025-04,4320,596.09633537,4392.97679905,0,,1083.84617207,0.135693030635,,True
Load,B1,2025-05,4464,656.502700448,4401.67775269,0,,1136.52139375,0.149148287843,,True
Load,B1,2025-06,4320,698.396118935,4800.37262944,0,,1180.67485797,0.145487897054,,True
Load,B1,2025-07,4464,644.772281676,5337.25865607,0,,1084.50023553,0.120805889919,,True
Load,B1,2025-08,4464,738.955431295,5045.17705034,0,,1202.20866108,0.146467690613,,True
Load,B1,2025-09,4320,629.531646991,4535.91043282,0,,1094.85298526,0.138788376956,,True
Load,B1,2025-10,4464,639.916065278,4347.01949133,0,,1132.01247587,0.1472080046,,True
Load,B1,2025-11,4320,659.411556713,4337.67134669,0,,1154.57529612,0.152019713807,,True
Load,B1,2025-12,4464,601.456754368,4691.30589619,0,,1076.5443604,0.128206680118,,True
Load,B2,2025-02,4032,146.437921776,4516.89652532,0,,184.382033337,0.0324200302032,,True
Load,B2,2025-03,4464,141.230024933,4355.69899541,0,,180.778014184,0.0324241930128,,True
Load,B2,2025-04,4320,125.522644606,4392.97679905,0,,156.911322801,0.0285734822532,,True
Load,B2,2025-05,4464,160.478890726,4401.67775269,0,,208.959762264,0.0364585732401,,True
Load,B2,2025-06,4320,210.343720069,4800.37262944,0,,287.128129396,0.0438182066907,,True
Load,B2,2025-07,4464,288.268041286,5337.25865607,0,,383.711442411,0.0540105061159,,True
Load,B2,2025-08,4464,183.778354503,5045.17705034,0,,231.552029987,0.0364265421548,,True
Load,B2,2025-09,4320,241.896897361,4535.91043282,0,,346.410293795,0.0533292931912,,True
Load,B2,2025-10,4464,137.434468772,4347.01949133,0,,182.866686671,0.0316157930845,,True
Load,B2,2025-11,4320,125.794936019,4337.67134669,0,,156.579955889,0.0290005687302,,True
Load,B2,2025-12,4464,180.512255914,4691.30589619,0,,241.147296273,0.0384780399975,,True
Load,B3,2025-02,4032,764.792742882,4516.89652532,0,,948.41220269,0.169318189734,,True
Load,B3,2025-03,4464,773.927760935,4355.69899541,0,,953.51558877,0.177681644611,,True
Load,B3,2025-04,4320,762.65005038,4392.97679905,0,,928.83529316,0.173606664744,,True
Load,B3,2025-05,4464,810.864529464,4401.67775269,0,,984.611898835,0.184217149692,,True
Load,B3,2025-06,4320,794.76141371,4800.37262944,0,,957.818317741,0.165562441723,,True
Load,B3,2025-07,4464,790.548297907,5337.25865607,0,,953.844442509,0.148118790722,,True
Load,B3,2025-08,4464,802.080916065,5045.17705034,0,,991.099943865,0.158979736105,,True
Load,B3,2025-09,4320,745.037140149,4535.91043282,0,,936.257562348,0.164253053755,,True
Load,B3,2025-10,4464,776.564408343,4347.01949133,0,,955.550762702,0.178642955223,,True
Load,B3,2025-11,4320,790.922080079,4337.67134669,0,,963.246934856,0.182337945147,,True
Load,B3,2025-12,4464,778.56843613,4691.30589619,0,,938.16803245,0.165959852834,,True
Load,B4,2025-02,4032,183.543210505,4516.89652532,0,,218.27010058,0.04063480522,,True
Load,B4,2025-03,4464,241.751441285,4355.69899541,0,,295.129270049,0.0555023296007,,True
Load,B4,2025-04,4320,187.256060266,4392.97679905,0,,229.728842321,0.0426262347451,,True
Load,B4,2025-05,4464,215.981637475,4401.67775269,0,,258.772450952,0.0490680257871,,True
Load,B4,2025-06,4320,384.252590788,4800.37262944,0,,478.327638519,0.0800464089872,,True
Load,B4,2025-07,4464,709.108006981,5337.25865607,0,,819.164679945,0.132859966637,,True
Load,B4,2025-08,4464,477.34726034,5045.17705034,0,,578.410248999,0.0946145706241,,True
Load,B4,2025-09,4320,214.837406445,4535.91043282,0,,248.962968315,0.0473636791614,,True
Load,B4,2025-10,4464,314.568947663,4347.01949133,0,,353.287317166,0.0723642827668,,True
Load,B4,2025-11,4320,278.202101406,4337.67134669,0,,318.953511302,0.0641362793928,,True
Load,B4,2025-12,4464,277.26945529,4691.30589619,0,,318.635590563,0.0591028300916,,True
PV,B0,2025-02,4032,1966.48034665,1966.48034665,2036,3894.32650182,3304.59860865,1,1966.48034665,True
PV,B0,2025-03,4464,2304.19675553,2304.19675553,2426,4239.87399699,3729.30902233,1,2304.19675553,True
PV,B0,2025-04,4320,2701.68568933,2701.68568933,2526,4620.46008626,4211.97089714,1,2701.68568933,True
PV,B0,2025-05,4464,2806.50239655,2806.50239655,2747,4560.694102,4259.08093964,1,2806.50239655,True
PV,B0,2025-06,4320,2369.8265653,2369.8265653,2765,3702.58617074,3564.27955636,1,2369.8265653,True
PV,B0,2025-07,4464,2723.254275,2723.254275,2784,4366.59737198,4122.86457942,1,2723.254275,True
PV,B0,2025-08,4464,2915.99309299,2915.99309299,2668,4878.93297118,4500.37331754,1,2915.99309299,True
PV,B0,2025-09,4320,2607.59950609,2607.59950609,2415,4664.52582455,4167.54499542,1,2607.59950609,True
PV,B0,2025-10,4464,2364.31305177,2364.31305177,2321,4547.30437876,3932.75450655,1,2364.31305177,True
PV,B0,2025-11,4320,1854.3763356,1854.3763356,2095,3823.82136983,3186.8395011,1,1854.3763356,True
PV,B0,2025-12,4464,1513.83689588,1513.83689588,2097,3222.58841354,2644.44359315,1,1513.83689588,True
PV,B1,2025-02,4032,132.081022173,1966.48034665,2036,261.565887328,274.849775643,0.0671662050412,132.081022173,True
PV,B1,2025-03,4464,186.405952061,2304.19675553,2426,342.997484913,385.013079656,0.0808984526227,186.405952061,True
PV,B1,2025-04,4320,223.745099051,2701.68568933,2526,382.65113844,433.962126435,0.0828168502112,223.745099051,True
PV,B1,2025-05,4464,234.15803918,2806.50239655,2747,380.517140663,440.009437753,0.0834341133889,234.15803918,True
PV,B1,2025-06,4320,244.139322685,2369.8265653,2765,381.440098228,471.93677049,0.103019911355,244.139322685,True
PV,B1,2025-07,4464,228.79033703,2723.254275,2784,366.851090014,418.948768185,0.0840135785813,228.79033703,True
PV,B1,2025-08,4464,217.214352912,2915.99309299,2668,363.426167391,413.164823869,0.0744906952744,217.214352912,True
