phase,series,seed,seq_len,training_cutoff,raw_points,available_days,window_count,effective_day_cycles,training_start,training_end,last_window_target_end,last_window_target_available_rank,scaler_fit_end,scaler_fit_rank,training_data_hash,scaler_data_hash,checkpoint_path,checkpoint_sha256,parameter_count,best_epoch,training_seconds
operational,PV,2026,432,2025-09-01T00:00:00,34992,243,34417,243,2025-01-01T00:00:00,2025-09-01T00:00:00,2025-09-01T00:00:00,0,2025-09-01T00:00:00,0,2dc37da74bdd21b34283459a87e306ff93f4d824d7ca191b630f6cdb1cc63128,2dc37da74bdd21b34283459a87e306ff93f4d824d7ca191b630f6cdb1cc63128,artifacts\dlinear\checkpoints\operational_PV_202509_seed2026.pt,686872d3c657ac9ef139f378f6b15316eac4c8227c5d1524bac35de7db06fd6c,124704,46,24.701541400005226
operational,PV,2026,432,2025-10-01T00:00:00,39312,273,38737,273,2025-01-01T00:00:00,2025-10-01T00:00:00,2025-10-01T00:00:00,0,2025-10-01T00:00:00,0,ab8b9b2a81991c4c4b7d0e1cd2db10f2b455ef5d09ba30da7f7f26ba914ae2b2,ab8b9b2a81991c4c4b7d0e1cd2db10f2b455ef5d09ba30da7f7f26ba914ae2b2,artifacts\dlinear\checkpoints\operational_PV_202510_seed2026.pt,918b9a2ac336d9b4cd534082e06b03022d484e111b073aa2fee9bacd8b3b2b94,124704,46,28.406269699989934
operational,PV,2026,432,2025-11-01T00:00:00,43776,304,43201,304,2025-01-01T00:00:00,2025-11-01T00:00:00,2025-11-01T00:00:00,0,2025-11-01T00:00:00,0,771d5d79eb3cdf1ac5c21797ac1b114fec4429695553b20f9ed2982c48b30bdb,771d5d79eb3cdf1ac5c21797ac1b114fec4429695553b20f9ed2982c48b30bdb,artifacts\dlinear\checkpoints\operational_PV_202511_seed2026.pt,8a6d44aff296e5625d7fd71de5113c8eef2c31c91b874ba7192c15c823999697,124704,46,31.748391399989487
operational,PV,2026,432,2025-12-01T00:00:00,48096,334,47521,334,2025-01-01T00:00:00,2025-12-01T00:00:00,2025-12-01T00:00:00,0,2025-12-01T00:00:00,0,163f835eebfca2787626d95cc29e9f9fad2ecdc2e4b553d75d12c9226f57a07e,163f835eebfca2787626d95cc29e9f9fad2ecdc2e4b553d75d12c9226f57a07e,artifacts\dlinear\checkpoints\operational_PV_202512_seed2026.pt,a7af67baddd47afd62635c1b9a133b950979f30a6b41edfd79692b8f43717612,124704,46,34.30893400000059
january_selection,Load,2026,1008,2025-01-25T00:00:00,3456,24,2305,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,artifacts\dlinear\checkpoints\selection_Load_L1008.pt,5b0da65e1d03cfc4c5fe967fa0a0f0fd658b91f7cd24092f016debf37c6d3058,290592,49,5.327603500001715
january_selection,Load,2026,144,2025-01-25T00:00:00,3456,24,3169,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,artifacts\dlinear\checkpoints\selection_Load_L144.pt,98b6c40c41d82f4b3c7bb429776de94f6ec5c1bcc1c52bf3690b1404d0475d69,41760,50,9.761532399992575
january_selection,Load,2026,432,2025-01-25T00:00:00,3456,24,2881,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,457baa8d44054b545849246892ae24c3aae384f4e94ba63461ff74510aa69274,artifacts\dlinear\checkpoints\selection_Load_L432.pt,2d05324fb66b5f9fb22a557ae928759ff3704fea87e6a4540bade88be97e9d3e,124704,50,5.846806600005948
january_selection,PV,2026,1008,2025-01-25T00:00:00,3456,24,2305,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,artifacts\dlinear\checkpoints\selection_PV_L1008.pt,a007d96430fcf333050cb11569540cc3449d424fca46f2692a057044bc92d1b5,290592,7,1.687478599997121
january_selection,PV,2026,144,2025-01-25T00:00:00,3456,24,3169,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,artifacts\dlinear\checkpoints\selection_PV_L144.pt,acc77cdd388d08e7fc69770eddc3a06d65fb2ab1dd9a0d609f99b79eedb3c6ea,41760,50,5.982112799989409
january_selection,PV,2026,432,2025-01-25T00:00:00,3456,24,2881,24,2025-01-01T00:00:00,2025-01-25T00:00:00,2025-01-25T00:00:00,0,2025-01-25T00:00:00,0,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,6445cade6852df4abaaeb9dcc37f2c0527eb6d8cd242e98f87d7bacffef834f5,artifacts\dlinear\checkpoints\selection_PV_L432.pt,a256a420add0fa0181af94f8bb8c2a6c18c1dd0d347121c7daeadcb31976479b,124704,46,5.814500500011491
