series,model,history_size_group,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,DLinear,31-60 days,4320,171.3771554983287,4479.804225347222,0,,216.95898415661304,0.03825550110619969,,True
Load,DLinear,61-120 days,8640,135.11405624012383,4398.502329571759,0,,170.56382864130123,0.03071819590312201,,True
Load,DLinear,121-240 days,17280,215.65077278154342,4900.310303969907,0,,272.32166154482894,0.04400757490945776,,True
Load,DLinear,>240 days,17856,177.33069108614976,4481.143621298163,0,,227.94220459621445,0.03957264173442805,,True
PV,DLinear,31-60 days,4320,161.56866526193335,1966.0587460879628,2186,263.58782779087,271.47702651763603,0.08217896112383238,161.56866526193335,True
PV,DLinear,61-120 days,8640,210.3366920835535,2524.1679050810185,4889,323.91351731087053,350.0318984933983,0.08332912072138969,210.3366920835535,True
PV,DLinear,121-240 days,17280,232.29029902796424,2702.5446674363425,10711,332.5234045426506,374.85781234035903,0.08595243654134192,232.29029902796424,True
PV,DLinear,>240 days,17856,177.59928351704838,2095.1603735103045,9094,278.44215456158116,277.2674876094414,0.08476643877122035,177.59928351704838,True
