series,model,horizon_step,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,DLinear,1,334,128.881983386497,3449.160176646707,0,,161.80531301060836,0.0373661925761293,,True
Load,DLinear,2,334,165.76978135568862,3444.099485329341,0,,210.27633239764648,0.048131531061111885,,True
Load,DLinear,3,334,176.2898588897006,3447.993263473054,0,,229.26341395813793,0.0511282492217312,,True
Load,DLinear,4,334,161.39527549149702,3459.9092206586824,0,,204.64835969419164,0.04664725725398405,,True
Load,DLinear,5,334,173.12430028446107,3463.7817877245507,0,,219.03583702166455,0.04998129527039028,,True
Load,DLinear,6,334,188.1938767661976,3458.9917964071856,0,,241.0429318766291,0.054407147470448586,,True
Load,DLinear,7,334,185.7325384847904,3459.082694011976,0,,238.11553239268014,0.053694159670224804,,True
Load,DLinear,8,334,174.28821012631738,3458.2600877245504,0,,222.0678710825389,0.0503976582747409,,True
Load,DLinear,9,334,180.99625646625748,3460.124131736527,0,,229.55225924513618,0.052309180126269395,,True
Load,DLinear,10,334,163.98964421781434,3475.3406928143713,0,,210.62911576067017,0.04718663829329884,,True
Load,DLinear,11,334,163.9823726608982,3485.9928991017964,0,,210.39594002521306,0.04704036336481064,,True
Load,DLinear,12,334,186.51540629796406,3487.613113772455,0,,237.59367991106816,0.05347938553201949,,True
Load,DLinear,13,334,178.42200074302397,3492.633510179641,0,,229.1127919338997,0.05108523417157702,,True
Load,DLinear,14,334,163.0935557041916,3498.209605688623,0,,215.64796212163583,0.04662200785195277,,True
Load,DLinear,15,334,158.29012952458086,3500.6029940119756,0,,205.5371284400841,0.045217960961396395,,True
Load,DLinear,16,334,158.5141618458982,3499.6606131736526,0,,203.4671903984451,0.04529415259559992,,True
Load,DLinear,17,334,163.77985719482035,3497.0608125748504,0,,203.21811056038877,0.04683357424208786,,True
Load,DLinear,18,334,171.19093507613772,3497.257994011976,0,,214.24099374631265,0.04895004468336387,,True
Load,DLinear,19,334,162.56664330308382,3504.3874619760477,0,,208.59341667762564,0.04638946037417222,,True
Load,DLinear,20,334,163.43146958320358,3512.124912275449,0,,208.1055498860864,0.04653350141732829,,True
Load,DLinear,21,334,160.7926413638623,3516.69251497006,0,,205.44727005710547,0.045722689908028885,,True
Load,DLinear,22,334,163.00638051826346,3519.7411299401197,0,,212.51686155816395,0.04631203673806449,,True
Load,DLinear,23,334,156.94527332038922,3523.7164356287426,0,,203.36871996338445,0.044539700111364156,,True
Load,DLinear,24,334,175.87056410922156,3527.3151796407187,0,,227.92807908202002,0.04985961139064845,,True
Load,DLinear,25,334,174.19693521041913,3526.9093805389225,0,,222.19818412610203,0.04939081683573092,,True
Load,DLinear,26,334,174.44169586347306,3525.311905688623,0,,219.4457627416969,0.04948262750367848,,True
Load,DLinear,27,334,174.59264422026945,3531.0204790419166,0,,219.42370152557626,0.04944537854043889,,True
Load,DLinear,28,334,168.87865678748503,3548.67437005988,0,,213.01418010371722,0.04758922323567135,,True
Load,DLinear,29,334,165.74196857820357,3552.5327482035927,0,,208.27397201852673,0.04665459274429327,,True
Load,DLinear,30,334,180.26349289838325,3536.092155688623,0,,227.85880409346805,0.050978165998413726,,True
Load,DLinear,31,334,179.08913955934133,3523.648140419162,0,,226.08397724387302,0.050824921337928326,,True
Load,DLinear,32,334,168.4331289348204,3550.15700988024,0,,214.4302069623653,0.04744385345945651,,True
Load,DLinear,33,334,172.51858624014972,3538.544700598802,0,,214.7157140705444,0.04875410679733837,,True
Load,DLinear,34,334,203.11314966089822,3445.6984943113775,0,,248.14612707080772,0.05894687245451821,,True
Load,DLinear,35,334,173.59796618395208,3784.6194811377245,0,,219.16232027334294,0.045869331659140915,,True
Load,DLinear,36,334,201.8398177612575,4359.280898203593,0,,253.07411181876083,0.046301172710488385,,True
Load,DLinear,37,334,174.0176560223952,4413.700094610778,0,,217.40689173023753,0.03942670600453222,,True
Load,DLinear,38,334,166.61035078622754,4330.216653293413,0,,209.1520199430411,0.03847621588622118,,True
Load,DLinear,39,334,181.96693865928142,4350.379850299401,0,,228.16253623563838,0.0418278276658435,,True
Load,DLinear,40,334,181.71369281458084,4339.863036826347,0,,225.77433353475223,0.041870835847267744,,True
Load,DLinear,41,334,176.91432017431137,4391.8630185628745,0,,223.1216575346122,0.04028229464957268,,True
Load,DLinear,42,334,178.4707757650599,4484.039970059881,0,,225.92497472561138,0.03980133472420331,,True
Load,DLinear,43,334,169.8195977075449,4481.806088922156,0,,217.36084709900888,0.03789088468760266,,True
Load,DLinear,44,334,177.9741174106287,4499.83665748503,0,,223.6348092653118,0.039551239513235775,,True
Load,DLinear,45,334,183.00107757505987,4477.676886227545,0,,232.66957067506308,0.04086964786091092,,True
Load,DLinear,46,334,215.81413503272452,4341.91077994012,0,,267.8571115676813,0.04970487556533828,,True
Load,DLinear,47,334,183.19024282784432,4868.000047305389,0,,233.36141714306353,0.03763152034668665,,True
Load,DLinear,48,334,234.73029512191619,5752.928023952096,0,,299.3894753722334,0.040801882822907844,,True
Load,DLinear,49,334,210.37644647131734,5840.449403592814,0,,268.89043031945437,0.0360205922410529,,True
Load,DLinear,50,334,193.79810264586825,5706.233170059881,0,,247.94378032427713,0.033962527795518484,,True
Load,DLinear,51,334,191.42141889589817,5725.102964071856,0,,246.80798069006138,0.03343545436600389,,True
Load,DLinear,52,334,196.72222773290423,5706.071458682634,0,,243.61455378281326,0.03447594884805766,,True
Load,DLinear,53,334,188.79737925550896,5776.496773652695,0,,235.19773930413518,0.03268371586679262,,True
Load,DLinear,54,334,195.4079847200299,5910.296556886227,0,,242.06941559485801,0.03306229777799481,,True
Load,DLinear,55,334,181.37680964526947,5914.680398802395,0,,229.24499188387585,0.030665530073610517,,True
Load,DLinear,56,334,188.18359286946108,5885.687137724551,0,,234.21006443929195,0.03197308801266223,,True
Load,DLinear,57,334,199.87815381302394,5882.022724550899,0,,247.63942005100054,0.03398119374458638,,True
Load,DLinear,58,334,180.51850154754493,5865.2674988023955,0,,224.67607678000837,0.030777539401980258,,True
Load,DLinear,59,334,182.4615555180539,5855.904532335329,0,,228.74791753978383,0.031158560476956476,,True
Load,DLinear,60,334,199.3534838551796,5860.536197604791,0,,250.7096438007058,0.034016253314271085,,True
Load,DLinear,61,334,193.31886412646705,5859.710514371258,0,,243.9801223819366,0.03299119703137929,,True
Load,DLinear,62,334,185.6562865887126,5849.3060269461075,0,,230.81353136460805,0.03173988260033691,,True
Load,DLinear,63,334,176.26317063323356,5833.716856287425,0,,224.92675097998602,0.030214557026925604,,True
Load,DLinear,64,334,172.40617056242513,5820.123976047905,0,,214.84218048290595,0.029622422352503865,,True
Load,DLinear,65,334,177.1995500052096,5809.550061676647,0,,223.72033899676026,0.0305014240559052,,True
Load,DLinear,66,334,188.91374824643717,5804.034850299401,0,,234.96399130028342,0.032548692955675834,,True
Load,DLinear,67,334,182.7039727610479,5803.185326347305,0,,224.9275592384878,0.03148339446123585,,True
Load,DLinear,68,334,179.6094330238922,5788.42309760479,0,,228.80934958658614,0.031029078212719687,,True
Load,DLinear,69,334,196.39505675625753,5781.265658682634,0,,246.2436433773246,0.03397094483304019,,True
Load,DLinear,70,334,186.70133892011975,5799.506463473054,0,,234.70543236652574,0.032192625371834316,,True
Load,DLinear,71,334,168.73027319446103,5679.445606886227,0,,211.59164463155767,0.029708933736398244,,True
Load,DLinear,72,334,189.66334823000003,5486.479790419162,0,,241.9821698093949,0.034569223887637786,,True
Load,DLinear,73,334,185.07370710005986,5465.7935083832335,0,,235.6034991104472,0.03386035473462373,,True
Load,DLinear,74,334,166.10518373086825,5487.716970059881,0,,218.79402944436563,0.030268540567436688,,True
Load,DLinear,75,334,187.48439857293414,5458.657634730539,0,,234.18609839955997,0.03434624611370944,,True
Load,DLinear,76,334,180.58199156508985,5436.174626047904,0,,226.08050520402145,0.03321857813393549,,True
Load,DLinear,77,334,180.0750203011078,5541.999201796407,0,,227.0653013920247,0.0324927907320408,,True
Load,DLinear,78,334,195.09255627637728,5703.486556886228,0,,252.15770070716727,0.03420584134468206,,True
Load,DLinear,79,334,190.45588389062877,5718.1736643712575,0,,241.16015002931107,0.03330711780884157,,True
Load,DLinear,80,334,174.4467718511078,5694.81336497006,0,,220.19956861744527,0.030632570493734683,,True
Load,DLinear,81,334,169.8462663293114,5700.551077844311,0,,219.57283989459904,0.029794710021884326,,True
Load,DLinear,82,334,172.82220453790418,5693.461542215569,0,,222.2042730696283,0.030354504593817222,,True
Load,DLinear,83,334,178.71786610547906,5681.687266467066,0,,230.1787187516936,0.031455069194015625,,True
Load,DLinear,84,334,182.72087771787426,5676.30251497006,0,,235.2504534870728,0.032190123277606536,,True
Load,DLinear,85,334,169.2579779242814,5675.638411377246,0,,220.96031934724527,0.02982183952821783,,True
Load,DLinear,86,334,169.95061303071856,5671.149004191617,0,,225.27755603741065,0.02996758027431583,,True
Load,DLinear,87,334,191.03763920673654,5661.897694610779,0,,249.3080339787057,0.03374092036113154,,True
Load,DLinear,88,334,177.01042414727544,5657.161128443114,0,,237.61404836686947,0.03128962038173196,,True
Load,DLinear,89,334,172.13107516212577,5669.028073353294,0,,227.16192987328927,0.030363419079050054,,True
Load,DLinear,90,334,182.63937407787424,5682.740359281437,0,,233.88533961626473,0.03213931352319752,,True
Load,DLinear,91,334,167.03360502119762,5670.277778143713,0,,223.47110773850594,0.029457746437931944,,True
Load,DLinear,92,334,167.52232843275445,5659.083301497006,0,,223.5978096711423,0.02960237895569403,,True
Load,DLinear,93,334,188.0585419037425,5661.562335329341,0,,247.37135955335944,0.03321672195150402,,True
Load,DLinear,94,334,188.9145927406886,5665.0608913173655,0,,241.53589149104747,0.033347319007679364,,True
Load,DLinear,95,334,179.70781117685627,5673.0407721556885,0,,231.25760335510282,0.03167751094948846,,True
Load,DLinear,96,334,186.8507414060479,5682.6984730538925,0,,244.4432035035251,0.03288063624914344,,True
Load,DLinear,97,334,185.5938093057485,5683.141978443114,0,,238.49125897875808,0.032656901764856416,,True
Load,DLinear,98,334,175.0099902236527,5674.472458083832,0,,229.0256211060958,0.030841631802148255,,True
Load,DLinear,99,334,180.6335276753593,5679.823802395209,0,,241.47962800603096,0.03180266394869243,,True
Load,DLinear,100,334,186.3765991327545,5705.820590119761,0,,247.80023721112397,0.032664293625966005,,True
Load,DLinear,101,334,186.47246049829343,5622.126059580838,0,,247.683056506635,0.033167605728178215,,True
Load,DLinear,102,334,200.01986160344316,5485.685838323354,0,,258.18465680875255,0.03646214302067602,,True
Load,DLinear,103,334,202.1107230320359,5488.350721556886,0,,264.56616494742457,0.03682540225394031,,True
Load,DLinear,104,334,201.83158276092817,5486.24672754491,0,,263.8779320761607,0.03678864491230193,,True
Load,DLinear,105,334,219.38457295041917,5513.755209580839,0,,276.5572705133993,0.0397885949976907,,True
Load,DLinear,106,334,245.15617351047905,5645.618551197605,0,,310.9962727101728,0.0434241476442779,,True
Load,DLinear,107,334,191.92064306511975,5116.076082335329,0,,261.8683165592627,0.037513250384954,,True
Load,DLinear,108,334,239.50862470547904,4232.754820359281,0,,297.3223734224943,0.056584573137441786,,True
Load,DLinear,109,334,190.70675834526946,4149.094561377246,0,,247.31723412214296,0.04596346396163275,,True
Load,DLinear,110,334,171.6554342098503,4284.441448802396,0,,225.12812558832394,0.04006483371545015,,True
Load,DLinear,111,334,197.32980481637722,4255.234520958084,0,,253.2195164889588,0.046373426386836974,,True
Load,DLinear,112,334,187.50933572278444,4263.403675748503,0,,250.90775692546123,0.04398113572716392,,True
