series,model,n,mae_kw,mean_abs_actual_kw,daylight_n,daylight_mae_kw,rmse_kw,nmae,all_day_mae_kw,nmae_defined
Load,DLinear,48096,182.9798097839074,4616.7763833894705,0,,235.34594306993804,0.03963367392933383,,True
PV,DLinear,48096,201.68984587527223,2378.8535422010145,26880,307.0545876980297,328.1107178278096,0.08478447382206657,201.68984587527223,True
