series,model_dlinear,n_dlinear,mae_kw_dlinear,mean_abs_actual_kw_dlinear,daylight_n_dlinear,daylight_mae_kw_dlinear,rmse_kw_dlinear,nmae_dlinear,all_day_mae_kw_dlinear,nmae_defined_dlinear,model_baseline,n_baseline,mae_kw_baseline,mean_abs_actual_kw_baseline,daylight_n_baseline,daylight_mae_kw_baseline,rmse_kw_baseline,nmae_baseline,all_day_mae_kw_baseline,nmae_defined_baseline,absolute_improvement_kw,relative_improvement_pct,scope,month,horizon_step,history_size_group
Load,DLinear,334,182.1109644806886,4313.732598802396,0,,238.3100781162614,0.042216563106217415,,True,B2,334,186.216411377,4313.7325988,0,,268.666301231,0.043168278773,,True,4.105446896311378,2.204664382668074,horizon,,121.0,
Load,DLinear,334,185.19465457089822,4323.131689221557,0,,241.80918489171071,0.04283807847737463,,True,B2,334,182.615565569,4323.13168922,0,,267.802601756,0.0422414996111,,True,-2.579089001898211,-1.412305130650936,horizon,,122.0,
Load,DLinear,334,195.57272908296406,4322.4479341317365,0,,258.99731659217707,0.04524582645371976,,True,B2,334,213.005389222,4322.44793413,0,,297.997466737,0.0492788791138,,True,17.43266013903593,8.18414041199077,horizon,,123.0,
Load,DLinear,334,185.41905357092813,4323.8605835329345,0,,242.68281262837766,0.04288275488739884,,True,B2,334,187.137779042,4323.86058353,0,,268.328064616,0.0432802527803,,True,1.7187254710718776,0.918427844912137,horizon,,124.0,
Load,DLinear,334,182.50830489350298,4322.449673353293,0,,241.88601021958812,0.04222334987926319,,True,B2,334,185.555979042,4322.44967335,0,,267.225665655,0.0429284301876,,True,3.047674148497009,1.642455373430558,horizon,,125.0,
Load,DLinear,334,195.58526266988025,4327.25625748503,0,,249.32636143517948,0.04519844701398687,,True,B2,334,207.836856287,4327.25625749,0,,279.259450749,0.0480297084158,,True,12.251593617119738,5.894812804617111,horizon,,126.0,
Load,DLinear,334,182.4127093707485,4348.235609580839,0,,239.4103895190959,0.04195097178469883,,True,B2,334,195.86649491,4348.23560958,0,,270.29825276,0.0450450510268,,True,13.453785539251498,6.868855005259306,horizon,,127.0,
Load,DLinear,334,183.46593470383237,4331.3901628742515,0,,238.08428158911832,0.0423572866458391,,True,B2,334,204.054750299,4331.39016287,0,,281.980509818,0.0471106833202,,True,20.58881559516763,10.089848712171111,horizon,,128.0,
Load,DLinear,334,185.69567349883232,4350.312185628743,0,,242.28898305227023,0.04268559716525127,,True,B2,334,201.948622754,4350.31218563,0,,283.397880655,0.0464216392151,,True,16.252949255167692,8.048061449255794,horizon,,129.0,
Load,DLinear,334,185.93062240955086,4452.879998802395,0,,241.0614046360646,0.041755138799958014,,True,B2,334,178.993573353,4452.8799988,0,,262.703422818,0.0401972596166,,True,-6.937049056550876,-3.8755855456721116,horizon,,130.0,
Load,DLinear,334,188.9499359303593,4052.2481212574853,0,,246.21333539488882,0.0466284221193555,,True,B2,334,185.861294012,4052.24812126,0,,267.65512498,0.0458662175786,,True,-3.0886419183592864,-1.6617994267057403,horizon,,131.0,
Load,DLinear,334,217.3287486973952,3385.3996706586827,0,,278.24927459039554,0.06419589113243769,,True,B2,334,201.911137725,3385.39967066,0,,288.155172319,0.0596417431816,,True,-15.41761097239521,-7.635839778880237,horizon,,132.0,
Load,DLinear,334,192.40894344443115,3332.8958754491023,0,,245.5745687147204,0.05773025940046937,,True,B2,334,190.476896407,3332.89587545,0,,269.549888362,0.0571505692123,,True,-1.932047037431147,-1.014320935439257,horizon,,133.0,
Load,DLinear,334,179.4435050263772,3435.8217272455095,0,,231.18984305051444,0.05222724555334734,,True,B2,334,185.029417665,3435.82172725,0,,261.162737568,0.0538530320702,,True,5.585912638622801,3.0189321833873053,horizon,,134.0,
Load,DLinear,334,195.09607419482037,3403.0357784431135,0,,251.71440104258667,0.057330009702124464,,True,B2,334,218.381646707,3403.03577844,0,,290.107603479,0.0641725979168,,True,23.285572512179613,10.662788225707256,horizon,,135.0,
Load,DLinear,334,181.08631239952095,3406.865183832335,0,,237.77584479161393,0.05315335436778848,,True,B2,334,188.489827545,3406.86518383,0,,264.588790709,0.0553264709268,,True,7.403515145479048,3.9278062067893478,horizon,,136.0,
Load,DLinear,334,179.353912782994,3422.0043077844307,0,,237.162185152679,0.0524119482769197,,True,B2,334,187.184956287,3422.00430778,0,,263.268723992,0.0547003859293,,True,7.831043504006004,4.183585935185471,horizon,,137.0,
Load,DLinear,334,191.13892969083832,3420.874341317365,0,,252.61794326924075,0.055874291371144455,,True,B2,334,202.248323353,3420.87434132,0,,276.764081424,0.0591218218426,,True,11.109393662161665,5.492947223484054,horizon,,138.0,
Load,DLinear,334,176.4850793378443,3423.529771257485,0,,229.3443018875014,0.05155061913570571,,True,B2,334,172.919982934,3423.52977126,0,,239.904811094,0.0505092680618,,True,-3.565096403844308,-2.061702958416918,horizon,,139.0,
Load,DLinear,334,179.78055450952095,3429.5466029940117,0,,232.78279733297634,0.05242108515235559,,True,B2,334,183.96390988,3429.54660299,0,,256.344964821,0.0536408835266,,True,4.183355370479035,2.2740087298687257,horizon,,140.0,
Load,DLinear,334,186.01864978928143,3435.0258982035925,0,,244.9181559317121,0.054153492666987796,,True,B2,334,200.337724551,3435.0258982,0,,283.058753177,0.0583220419548,,True,14.319074761718582,7.147468003747528,horizon,,141.0,
Load,DLinear,334,193.2834898257485,3439.782041317365,0,,249.5817202358481,0.05619062123823547,,True,B2,334,190.006884431,3439.78204132,0,,265.948124862,0.0552380593156,,True,-3.2766053947484863,-1.7244666710686307,horizon,,142.0,
Load,DLinear,334,177.3717222364671,3449.063759580838,0,,227.25368303231932,0.05142604909629822,,True,B2,334,191.171098802,3449.06375958,0,,253.46307123,0.0554269541325,,True,13.799376565532896,7.218338259291592,horizon,,143.0,
Load,DLinear,334,215.81293664470059,3457.6148203592816,0,,270.8265455651793,0.0624167085859134,,True,B2,334,189.765568862,3457.61482036,0,,267.381968448,0.0548833744421,,True,-26.047367782700576,-13.726076832010849,horizon,,144.0,
PV,DLinear,334,35.752249673973346,0.0,0,,42.69146942598621,,35.752249673973346,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-35.752249673973346,,horizon,,1.0,
PV,DLinear,334,50.33978899097201,0.0,0,,60.55814074676731,,50.33978899097201,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-50.33978899097201,,horizon,,2.0,
PV,DLinear,334,38.30634392816882,0.0,0,,50.41196472038301,,38.30634392816882,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-38.30634392816882,,horizon,,3.0,
PV,DLinear,334,61.47983616718303,0.0,0,,77.67366599336883,,61.47983616718303,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-61.47983616718303,,horizon,,4.0,
PV,DLinear,334,66.87592079860347,0.0,0,,85.2161322400683,,66.87592079860347,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-66.87592079860347,,horizon,,5.0,
PV,DLinear,334,71.4924751913393,0.0,0,,87.04766428533131,,71.4924751913393,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-71.4924751913393,,horizon,,6.0,
PV,DLinear,334,73.33830261575203,0.0,0,,86.93236246456065,,73.33830261575203,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-73.33830261575203,,horizon,,7.0,
PV,DLinear,334,74.10999372026268,0.0,0,,86.26591212151533,,74.10999372026268,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-74.10999372026268,,horizon,,8.0,
PV,DLinear,334,72.41925815193285,0.0,0,,85.29024341632919,,72.41925815193285,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-72.41925815193285,,horizon,,9.0,
PV,DLinear,334,69.3073164955042,0.0,0,,83.36826202747285,,69.3073164955042,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-69.3073164955042,,horizon,,10.0,
PV,DLinear,334,65.9252369471696,0.0,0,,81.29343663130251,,65.9252369471696,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-65.9252369471696,,horizon,,11.0,
PV,DLinear,334,62.99268343480739,0.0,0,,79.17395179220959,,62.99268343480739,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-62.99268343480739,,horizon,,12.0,
PV,DLinear,334,60.560386463663846,0.0,0,,77.55417910617876,,60.560386463663846,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-60.560386463663846,,horizon,,13.0,
PV,DLinear,334,59.96972057430719,0.0,0,,77.21128973191377,,59.96972057430719,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-59.96972057430719,,horizon,,14.0,
PV,DLinear,334,61.35356305924615,0.0,0,,77.59801412393941,,61.35356305924615,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-61.35356305924615,,horizon,,15.0,
PV,DLinear,334,63.420324359930824,0.0,0,,78.02035735177807,,63.420324359930824,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-63.420324359930824,,horizon,,16.0,
PV,DLinear,334,66.0308781880706,0.0,0,,78.77754484177612,,66.0308781880706,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-66.0308781880706,,horizon,,17.0,
PV,DLinear,334,68.39876943190052,0.0,0,,80.2295080328629,,68.39876943190052,False,B3,334,0.0,0.0,0,,0.0,,0.0,False,-68.39876943190052,,horizon,,18.0,
PV,DLinear,334,70.95892229642995,0.00019161676646706587,45,53.94365476229933,82.64698717673916,370316.8757344938,70.95892229642995,True,B3,334,5.97091531224e-05,0.000191616766467,45,0.00030253968254,0.000194272127538,0.311607142857,5.97091531224e-05,True,-70.95886258727683,-118840845.79430498,horizon,,19.0,
PV,DLinear,334,73.32801165586778,4.341317365269461e-05,11,102.1560690727818,85.70697600635309,1689072.8202110233,73.32801165586778,True,B3,334,5.91958939264e-05,4.34131736527e-05,11,0.000898701298701,0.000236100857286,1.36354679803,5.91958939264e-05,True,-73.32795245997386,-123873376.33779913,horizon,,20.0,
