方案,方法,total_cost_cny,emergency_kwh,emergency_cost_cny,effective_purchase_cost_cny,adjustment_fee_cny,days,initial_energy_kwh,final_energy_kwh
问题二,主方法,13731811.493629172,295358.7077428845,1377593.0828155135,12354218.41081366,0.0,334,1694.0124768050082,1270.6537806501772
问题二,TiRex baseline,14712196.318409331,340471.53588337166,1661189.9516632017,13051006.36674613,0.0,334,1694.0124768050082,1200.0
问题三,主方法,13135911.261254428,59439.281613369836,257116.25087370924,12275023.26021547,603771.750165248,334,1819.0302061527702,1270.6696767720973
问题三,TiRex baseline,13706671.481421772,63099.56440472859,250687.18598827813,12428161.968872529,1027822.3265609648,334,1819.0302061527702,1267.1984324545788
问题4-2,主方法,14504409.39142225,309329.4174439897,1468037.999733618,13036371.391688632,0.0,334,1689.27827517826,1251.2556307967366
问题4-2,TiRex baseline,16081336.714729277,359424.95303515147,1867791.3637547626,14213545.350974515,0.0,334,1689.27827517826,1200.0
问题4-3,主方法,13892348.754858922,63097.52855990204,264823.44401509594,12981936.332226183,645588.978617643,334,1856.2355884539909,1249.7491886642133
问题4-3,TiRex baseline,14867834.018434593,80583.20934256603,357514.4384020234,13234394.599040864,1275924.9809917058,334,1856.2355884539909,1257.6348952248102
