total_cost_cny,emergency_kwh,emergency_cost_cny,effective_purchase_cost_cny,adjustment_fee_cny,days,initial_energy_kwh,final_energy_kwh,case,pv_mode,main_total_cost_cny,baseline_minus_main_cny,main_saving_pct
14712196.318409331,340471.53588337166,1661189.9516632017,13051006.36674613,0.0,334,1694.0124768050082,1200.0,result2,official,13731811.493629172,980384.8247801587,6.663755727303656
13706671.481421772,63099.56440472859,250687.18598827813,12428161.968872529,1027822.3265609648,334,1819.0302061527702,1267.1984324545788,result3,official,13135911.261254428,570760.2201673444,4.164105201915447
16081336.714729277,359424.95303515147,1867791.3637547626,14213545.350974515,0.0,334,1689.27827517826,1200.0,result4-2,official,14504409.39142225,1576927.323307028,9.805946802063303
14867834.018434593,80583.20934256603,357514.4384020234,13234394.599040864,1275924.9809917058,334,1856.2355884539909,1257.6348952248102,result4-3,official,13892348.754858922,975485.2635756712,6.561044886337641
