metric_scope,baseline_model,target_dataset,target_metric,unit,decision_minute,horizon_bucket,issue_count,n,mae,rmse,wape_pct,smape_pct,bias,mean_pinball_loss,q10_q90_coverage_pct,q10_q90_mean_width
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,6-12h,334,12024,25.70285001,90.86875071,132.04828408,180.44084061,-6.82371198,8.96652774,79.75715236,80.07511491
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,12-18h,333,11988,31.39183220,57.37325319,99.80291654,183.30690424,27.10985276,13.46247926,73.64030697,131.82171087
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,720,18-24h,333,11988,353.27745733,482.96875828,7.30137286,16.09087509,-121.78460661,144.53685479,80.35535536,1273.34416761
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,0-6h,334,12024,15.45063793,23.80300972,79.37758752,182.51572408,13.81104453,6.37042751,74.26813041,73.29791876
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,6-12h,333,11988,31.10235087,57.09159870,98.88257901,176.15521298,24.71630633,12.88428469,76.26793460,136.79269604
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,12-18h,333,11988,346.19524432,470.52146756,7.15500100,16.42199524,-60.84386779,139.88779500,79.20420420,1223.55607026
all_revision_forecasts_pooled,TiRex_historical_only,A2_PV_ACTUAL,pv_actual_kw,kW,1080,18-24h,333,11988,356.61654366,476.81350208,7.69644950,20.63645014,-181.36862399,148.68585517,83.48348348,1467.99172956
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,0-6h,334,12024,0.04991649,0.06361997,11.17003117,11.47491995,-0.01032992,0.01946362,83.12541583,0.17893096
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,6-12h,334,12024,0.12269397,0.15049124,14.68509677,16.76240925,-0.04783573,0.04837935,60.58715902,0.27185884
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,12-18h,334,12024,0.11824893,0.14908708,14.35293008,16.25797636,-0.00604953,0.04676167,70.35096474,0.31225606
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,0,18-24h,334,12024,0.07430773,0.09450099,8.04313417,9.62115399,0.01676819,0.02930148,86.11111111,0.28927869
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,0-6h,334,12024,0.09058364,0.11698518,10.84184863,12.74862668,-0.03093854,0.03572949,69.13672655,0.22714823
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,6-12h,334,12024,0.09374960,0.12027047,11.37922790,13.09530805,0.00647146,0.03711675,77.35362608,0.30402556
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,12-18h,334,12024,0.06499461,0.08191045,7.03507417,8.65220908,0.00064589,0.02647160,95.03493014,0.32416968
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,360,18-24h,333,11988,0.05427841,0.07021027,12.14022714,12.11605854,0.01861304,0.02305475,92.57590924,0.28616176
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,0-6h,334,12024,0.06437068,0.08126928,7.81324477,8.68929125,0.02833703,0.02511506,85.63705921,0.24215021
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,6-12h,334,12024,0.05613981,0.07180890,6.07662247,7.90007544,0.01865683,0.02274764,94.41949434,0.27615194
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,12-18h,333,11988,0.05942500,0.07576322,13.29134335,13.17948320,0.01772331,0.02419487,90.19853187,0.27546452
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,720,18-24h,333,11988,0.11026571,0.14409368,13.19416994,15.38251996,-0.02345307,0.04473085,73.44844845,0.32756486
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,0-6h,334,12024,0.04809578,0.06219655,5.20592956,6.92166543,-0.01509058,0.01927091,90.66866267,0.21248583
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,6-12h,333,11988,0.06686422,0.08527915,14.95524264,15.81640593,-0.02061224,0.02640596,81.32298966,0.23970212
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,12-18h,333,11988,0.11932501,0.15448025,14.27818689,16.68349614,-0.04264912,0.04860392,65.72405739,0.28639583
all_revision_forecasts_pooled,TiRex_historical_only,A4_PRICE,electricity_price_cny_per_kwh,CNY/kWh,1080,18-24h,333,11988,0.11884045,0.15583358,14.41760163,16.36928443,-0.00031936,0.04836907,70.33700367,0.30625128
